,RegionID,State,County,City,ZipCode,Bedrooms,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
68,97318,CA,Los Angeles County,Lancaster,93535,1,,,,,,,,,,,,,,58172.56,68947.84,72196.43,78114.12,90114.88,107001.74,132336.51,150123.12,173162.26,191269.5,189308.22
69,61643,NY,New York County,New York,10029,1,,,,,,,,,,,,,399989.96,415105.06,457941.33,492602.02,527449.14,569515.68,595014.43,613291.73,605363.23,581093.32,596622.55,590228.67
70,97004,CA,Orange County,Santa Ana,92704,1,,,,,,,,,,,,,,159014.0,179531.49,196339.8,211832.42,243090.08,278554.91,278493.95,291594.21,319123.42,365753.06,373484.57
71,62029,NY,Kings County,New York,11218,1,,,,,,,,,,,,,292253.31,321170.41,349655.09,397601.62,443938.29,473246.79,500975.16,510998.08,500924.65,483222.89,492928.65,494017.77
72,61802,NY,Bronx County,New York,10462,1,49538.45,53697.63,54371.29,59051.05,67806.55,81054.37,96148.65,110590.13,114008.01,108313.91,98109.65,90288.52,83359.21,84430.13,86686.73,94746.64,108012.01,122358.23,142740.34,169651.56,185166.77,187645.49,190951.66,192102.4
73,96364,CA,Los Angeles County,Los Angeles,91335,1,98216.45,111195.82,127255.75,153135.1,201057.64,249443.22,284943.07,278291.99,229010.29,169672.0,158274.97,133950.12,119873.93,146811.63,191470.21,206894.47,218412.62,242966.09,284833.49,298825.42,308112.22,330113.05,369829.0,381620.68
74,84635,IL,Cook County,Chicago,60634,1,71290.82,81320.25,89377.81,97349.86,105325.67,114119.9,121267.9,120405.86,115814.0,100084.78,84958.1,66804.54,58208.4,63121.05,80956.9,91016.79,100522.63,110078.36,122853.58,128375.51,132395.99,138716.44,148676.36,158499.57
75,97740,CA,Solano County,Fairfield,94533,1,,,,,,,,,,,,,,,,,,,,,,,,269016.16
76,69672,NC,Cabarrus County,Concord,28027,1,,,,,,,,,,,,,,69563.91,73179.14,79053.83,84402.21,90106.58,101757.49,109876.73,121804.13,147991.47,173553.93,173269.95
77,73221,FL,Orange County,Winter Garden,34787,1,52117.8,49322.56,51873.73,53737.29,59794.74,69408.71,82230.75,86197.97,78949.49,60124.35,45006.78,40581.78,42725.77,53010.1,64055.18,70858.87,79933.74,93563.39,110796.9,132140.54,136883.53,145372.65,189606.69,201088.02
78,61616,NY,New York County,New York,10002,1,,,,,,,,,,,459453.0,472255.65,521234.76,551222.21,614267.03,661155.73,691095.45,740246.48,752877.41,744670.55,722548.5,705875.17,745796.87,735380.34
79,62087,NY,Queens County,New York,11375,1,156044.95,179764.41,191567.52,202177.22,220253.24,255712.0,297634.53,288034.79,278332.88,247146.51,241338.9,235293.29,241179.53,247914.77,260670.6,269766.08,280476.66,301181.57,329293.44,346789.94,347016.98,332511.53,326626.87,325797.33
80,99534,WA,King County,Redmond,98052,1,95872.28,100500.28,104560.91,106014.86,114508.16,128003.44,151050.43,176241.52,184182.53,158725.42,142797.44,122244.16,108955.31,136870.98,163044.99,183210.54,215152.08,266573.22,321050.61,318404.73,330759.1,363612.77,412351.29,394147.54
81,72362,FL,Broward County,Pembroke Pines,33024,1,38770.23,42937.52,51587.31,60260.11,69029.3,83372.87,101155.41,107901.41,85313.06,59253.91,45890.58,39130.84,41080.89,50666.46,61705.51,70442.18,77724.57,87991.19,98854.03,107446.11,116632.65,128335.07,158436.03,180850.67
82,72578,FL,Palm Beach County,,33411,1,25641.48,28717.15,32286.21,37446.03,45954.66,62514.06,79869.23,77164.46,60230.3,44086.81,34850.5,29299.88,28333.98,32888.01,42057.22,47436.42,54721.9,60561.56,67472.39,72824.58,76827.72,88987.86,119171.12,137313.82
83,97319,CA,Los Angeles County,Lancaster,93536,1,,,,,,,,,,,,,,106476.69,111581.11,120061.5,131929.65,158300.66,200021.28,221072.32,237078.6,282412.46,308572.39,296618.88
84,96467,CA,San Bernardino County,Chino Hills,91709,1,121854.3,138663.84,160319.49,195981.49,241300.49,297829.26,337210.08,327813.98,260792.85,192631.85,208918.84,206281.55,173560.65,201720.92,245362.63,256573.13,259566.67,286245.17,322270.79,348001.29,344800.83,362166.44,420492.89,424653.13
85,96545,CA,San Diego County,Chula Vista,91910,1,,,,,,,,,,,,113343.32,108012.65,132844.11,167315.75,187243.72,212201.54,241688.74,275598.41,299183.66,283316.53,299126.0,352799.53,369938.93
86,99500,WA,Snohomish County,Bothell,98012,1,,,,,,,,,,,,,,,119861.76,137662.0,163821.63,207264.11,249668.18,275785.36,251956.0,258732.06,317059.58,315503.91
87,92515,TX,Hidalgo County,Mission,78572,1,,,,,,,,46709.38,45358.78,46775.8,44164.3,43174.95,42910.77,43158.53,44401.95,43209.68,42991.91,43586.35,44356.82,47231.3,51644.52,59253.12,68581.07,76224.86
88,90764,TX,Dallas County,Cockrell Hill,75211,1,47979.53,58301.76,58400.82,62056.09,64141.32,67489.21,74043.57,67466.09,69681.36,62573.13,61365.28,57202.9,51754.96,52962.84,58473.7,65902.43,80000.76,90421.95,100824.32,112227.02,121728.95,136262.45,155244.14,162266.32
89,97435,CA,Fresno County,Fresno,93727,1,,,,,,,,,53037.52,45541.19,38410.88,35995.04,36422.34,44690.91,50643.76,54898.18,62106.56,73404.27,84047.1,92625.26,93817.11,103705.73,126240.42,132075.91
90,95804,NV,Clark County,Las Vegas,89108,1,,,,,,,,,,,,,,47630.17,51667.6,54119.71,56711.8,65759.48,92992.32,106492.54,110485.78,119371.96,160502.11,161758.38
91,96465,CA,Los Angeles County,Baldwin Park,91706,1,75376.43,83546.24,95117.17,114661.88,146864.28,190977.27,230807.54,233526.95,195912.54,143499.6,126694.76,124857.02,124710.96,155452.9,195255.47,212169.8,218574.74,245697.24,294058.56,308108.25,325788.69,379576.71,442093.33,460983.18
92,95984,CA,Los Angeles County,Los Angeles,90003,1,78628.42,83512.85,89162.5,104104.53,127383.69,178190.22,233003.14,249902.24,204809.69,142796.9,116922.43,113863.04,108083.89,130923.3,166943.67,183875.08,201426.75,245910.71,303708.99,334022.32,364066.22,406528.19,445864.74,455927.18
93,96667,CA,San Diego County,San Diego,92126,1,67720.46,84874.7,103258.31,128979.38,156242.41,184875.96,181300.0,159719.38,132666.64,106702.1,107850.59,101348.11,101081.42,131570.04,161061.76,174325.21,193077.07,221300.43,253778.65,277248.82,286064.09,308995.82,392454.53,411404.32
94,70826,GA,Forsyth County,Cumming,30041,1,89797.39,98862.56,105139.39,110068.52,114162.91,117704.86,128225.0,142544.51,138652.23,128328.65,115688.58,96450.3,100001.04,106769.4,121375.23,133222.3,139662.09,152889.45,167312.45,176778.88,191623.19,225078.24,268419.26,279825.11
95,93203,CO,Arapahoe County,Aurora,80013,1,73185.65,88710.83,94651.29,92412.87,91701.85,91014.09,89806.22,83376.87,76001.65,64666.01,62956.91,53330.42,54478.19,68561.21,82795.72,103047.08,129390.69,152502.77,173946.6,183640.06,194254.77,210443.03,250823.87,249779.83
96,62026,NY,Kings County,New York,11215,1,217097.64,248361.04,319613.74,381691.05,400251.18,478236.21,543344.46,542867.76,565560.62,508309.25,458248.8,465834.11,476105.85,544349.47,645854.75,697070.43,731237.21,752455.82,761687.99,786098.11,772580.15,757916.2,813783.79,806581.51
